matchScore,street,city,state,zip,name,line_1,state,zip
93.7278106508876,423 W 46TH ST New York NY 10036,New York,NY,10036,"St. Clements Church",423 West 46th Street,NY,10036
93.7278106508876,133 W 46TH ST New York NY 10036,New York,NY,10036,"St. Mary the Virgin Church",133 West 46th Street,NY,10036
98.9349112426035,405 W 59TH ST New York NY 10019,New York,NY,10019,"St. Paul's Episcopal Parish House",405 West 59th Street,NY,10019
93.0177514792899,273 BOWERY ST New York NY 10012,New York,NY,10012,"Chinatown YMCA",273 Bowery Street,NY,10012
95.3254437869822,405 W 114TH ST New York NY 10025,New York,NY,10025,"Church of Notre Dame",405 West 114th Street,NY,10025
98.9349112426035,4 W 43RD ST New York NY 10017,New York,NY,10017,"The Learning Center",4 West 43rd Street,NY,10017
94.792899408284,210 W 31ST ST New York NY 10001,New York,NY,10001,"St. John the Baptist Church",210 West 31st Street,NY,10001
95.3254437869822,213 W 82ND ST New York NY 10024,New York,NY,10024,"Holy Trinity Church",213 West 82nd Street,NY,10024
97.3372781065089,152 W 71ST ST New York NY ,New York,NY,,"152 west 71st street",152 west 71st street,NY,
93.7278106508876,133 W 46TH ST New York NY 10036,New York,NY,10036,"St. Mary the Virgin Church",133 West 46th Street,NY,10036
