Location_Name,Address_Line_1,City,State,Zipcode,Extended_Address,Latitude,Longitude,Score,Zone,Meeting_Name,Day,Start,End,Type
"St. Margaret's Residence",49 Fulton Street,New York,NY,10038,"49 Fulton Street,1st Floor Library,@ Pearl Street,10038",40.7080393,-74.0042361,100,01,"Downtown",Mondays,7:00 PM,8:00 PM,OD
"44 John Street",44 John Street,New York,NY,10038,"44 John Street,between Nassau and William 10038",40.7091732,-74.0080677,100,01,"Exchange Views @ John Street Church",Mondays,12:15 PM,1:15 PM,OD
"44 John Street",44 John Street,New York,NY,10038,"44 John Street,between Nassau and William 10038",40.7091732,-74.0080677,100,01,"Exchange Views @ John Street Church",Tuesdays,12:15 PM,1:15 PM,S
"44 John Street",44 John Street,New York,NY,10038,"44 John Street,between Nassau and William 10038",40.7091732,-74.0080677,100,01,"Exchange Views @ John Street Church",Thursdays,12:15 PM,1:15 PM,OD
"44 John Street",44 John Street,New York,NY,10038,"44 John Street,between Nassau and William 10038",40.7091732,-74.0080677,100,01,"Exchange Views @ John Street Church",Mondays,1:30 PM,2:30 PM,B
"44 John Street",44 John Street,New York,NY,10038,"44 John Street,between Nassau and William 10038",40.7091732,-74.0080677,100,01,"Exchange Views @ John Street Church",Thursdays,1:30 PM,2:30 PM,S
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House",Mondays,6:30 AM,7:30 AM,C
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House",Tuesdays,6:30 AM,7:30 AM,C
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House",Wednesdays,6:30 AM,7:30 AM,C
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House",Thursdays,6:30 AM,7:30 AM,S
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House",Fridays,6:30 AM,7:30 AM,BB
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House",Mondays,7:30 AM,8:30 AM,S
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House",Tuesdays,7:30 AM,8:30 AM,OD
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House",Wednesdays,7:30 AM,8:30 AM,OD
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House",Thursdays,7:30 AM,8:30 AM,OD
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House",Fridays,7:30 AM,8:30 AM,B
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House",Sundays,7:45 AM,8:45 AM,OD
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House",Saturdays,7:45 AM,8:45 AM,OD
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House",Fridays,5:30 PM,6:30 PM,B
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Tribeca Group @ St. Margaret's House",Fridays,7:30 PM,8:30 PM,S
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Tribeca Group @ St. Margaret's House",Saturdays,7:30 PM,8:30 PM,OD
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Tribeca Group @ St. Margaret's House",Tuesdays,7:30 PM,8:30 PM,BB
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Tribeca Group @ St. Margaret's House",Thursdays,7:30 PM,8:30 PM,B
"St. Peter's Church",22 Barclay Street,New York,NY,,"22 Barclay Street,Entrance on Church St. between Vesey & Barclay Streets NY",40.7125016,-74.0094639,97.3372781065089,01,"Gateway",Sundays,6:00 PM,7:00 PM,BB
"St. Peter's Church",22 Barclay Street,New York,NY,,"22 Barclay Street,Entrance on Church St. between Vesey & Barclay Streets NY",40.7125016,-74.0094639,97.3372781065089,01,"Tribeca Group @ St. Peter's Church",Mondays,7:45 PM,8:45 PM,S
"St. Peter's Church",22 Barclay Street,New York,NY,,"22 Barclay Street,Entrance on Church St. between Vesey & Barclay Streets NY",40.7125016,-74.0094639,97.3372781065089,01,"Tribeca Group @ St. Peter's Church",Wednesdays,8:00 PM,9:00 PM,OD
"Saint Peter's Church",22 Barclay Street,New York,NY,10007,"22 Barclay Street,Basement,Corner of Barclay & Church Streets,10007",40.7125016,-74.0094639,100,01,"S.o.b.e.r.",Thursdays,7:30 PM,8:45 PM,OD
"Hazelden Tribeca",283 West Broadway,New York,NY,10013,"283 West Broadway,Betw. Lispenard and Canal Streets,Ground Floor,Broadway Room,Enter through Green Door 10013",40.7144166,-73.9843646,94.792899408284,01,"Sane And Sober",Wednesdays,7:00 PM,8:00 PM,C
"Municipal Union Bldg DC 37",125 Barclay Street,New York,NY,10007,"125 Barclay Street,Betw. Greenwich Street & West Side Highway,NY 10007",40.7143477,-74.0130151,100,01,"Saturday Afternoon Discussion",Saturdays,2:00 PM,3:15 PM,OD
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,@ Water & Fulton Streets,10038",40.7080393,-74.0042361,100,01,"Seamen's Group",Tuesdays,6:00 PM,7:00 PM,S
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,@ Water & Fulton Streets,10038",40.7080393,-74.0042361,100,01,"Seaport",Thursdays,12:15 PM,1:15 PM,C
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,@ Water & Fulton Streets,10038",40.7080393,-74.0042361,100,01,"Seaport",Fridays,12:15 PM,1:15 PM,S
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,@ Water & Fulton Streets,10038",40.7080393,-74.0042361,100,01,"Seaport",Mondays,12:15 PM,1:15 PM,S
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,@ Water & Fulton Streets,10038",40.7080393,-74.0042361,100,01,"Seaport",Wednesdays,12:15 PM,1:15 PM,BB
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,@ Water & Fulton Streets,10038",40.7080393,-74.0042361,100,01,"Seaport",Tuesdays,12:15 PM,1:15 PM,B
"Church of Saint Andrew",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,10007",40.7132514,-74.002398,100,01,"Tower",Wednesdays,5:30 PM,6:30 PM,OD
"Tribeca 12 Building",283 West Broadway,New York,NY,10013,"283 West Broadway,Canal and Lispendard Sts. 10013",40.7144166,-73.9843646,94.792899408284,01,"Triangle Group",Sundays,11:00 AM,12:00 PM,C
"Tribeca 12 Building",283 West Broadway,New York,NY,10013,"283 West Broadway,Canal and Lispendard Sts. 10013",40.7144166,-73.9843646,94.792899408284,01,"Triangle Group",Fridays,12:30 PM,1:30 PM,BB
"Tribeca 12 Building",283 West Broadway,New York,NY,10013,"283 West Broadway,Canal and Lispendard Sts. 10013",40.7144166,-73.9843646,94.792899408284,01,"Triangle Group",Mondays,6:30 PM,7:30 PM,C
"Tribeca 12 Building",283 West Broadway,New York,NY,10013,"283 West Broadway,Canal and Lispendard Sts. 10013",40.7144166,-73.9843646,94.792899408284,01,"Triangle Group",Thursdays,6:30 PM,7:30 PM,C
"Hazelden Center",283 West Broadway,New York,NY,10013,"283 West Broadway,10013",40.7144166,-73.9843646,94.792899408284,01,"Young People's Diversity",Wednesdays,8:30 PM,9:30 PM,C
"Hazelden Center",283 West Broadway,New York,NY,10013,"283 West Broadway,10013",40.7144166,-73.9843646,94.792899408284,01,"Young People's Step",Tuesdays,7:45 PM,8:45 PM,C
"Hazelden Center",283 West Broadway,New York,NY,10013,"283 West Broadway,10013",40.7144166,-73.9843646,94.792899408284,01,"Youth Enjoying Sobriety (Y.e.s.)",Saturdays,7:00 PM,8:15 PM,B
"Hazelden Center",283 West Broadway,New York,NY,10013,"283 West Broadway,10013",40.7144166,-73.9843646,94.792899408284,01,"Afternoon Delight",Saturdays,12:00 PM,1:00 PM,C
"SRO Building",109 West 129th Street,New York,NY,10027,"109 West 129th Street,Basement,@ Lenox Avenue,NY 10027",40.8106798,-73.944244,100,08,"A Chance To Live Again",Wednesdays,6:00 PM,7:00 PM,BB
"SRO Building",109 West 129th Street,New York,NY,10027,"109 West 129th Street,Basement,@ Lenox Avenue,NY 10027",40.8106798,-73.944244,100,08,"A Chance To Live Again",Mondays,7:00 PM,8:00 PM,B
"Union Baptist Church",240 West 145th Street,New York,NY,10039,"240 West 145th Street,Betw 7th & 8th Avenues,NY 10039",40.8222189,-73.9408621,99.4674556213018,08,"Aa It Works  Ii",Wednesdays,10:00 AM,11:00 AM,B
"Union Baptist Church",240 West 145th Street,New York,NY,10039,"240 West 145th Street,Betw 7th & 8th Avenues,NY 10039",40.8222189,-73.9408621,99.4674556213018,08,"Aa It Works  Ii",Thursdays,10:00 AM,11:00 AM,BB
"Union Baptist Church",240 West 145th Street,New York,NY,10039,"240 West 145th Street,Betw 7th & 8th Avenues,NY 10039",40.8222189,-73.9408621,99.4674556213018,08,"Aa It Works  Ii",Fridays,10:00 AM,11:00 AM,S
"Union Baptist Church",240 West 145th Street,New York,NY,10039,"240 West 145th Street,Betw 7th & 8th Avenues,NY 10039",40.8222189,-73.9408621,99.4674556213018,08,"Aa It Works  Ii",Tuesdays,10:00 AM,11:00 AM,OD
"Our Lady of Lourdes Church",469 West 142nd Street,New York,NY,10031,"469 West 142nd Street,Basement,Betw Convent & Amsterdam Avenues,NY 10031",40.8232166,-73.9484769,99.4674556213018,08,"Attitude Adjustment",Saturdays,7:30 AM,8:30 AM,OD
"Our Lady of Lourdes Church",469 West 142nd Street,New York,NY,10031,"469 West 142nd Street,Basement,Betw Convent & Amsterdam Avenues,NY 10031",40.8232166,-73.9484769,99.4674556213018,08,"Reality Check",Saturdays,5:00 PM,6:00 PM,OD
"Our Lady of Lourdes Church",469 West 142nd Street,New York,NY,10031,"469 West 142nd Street,Basement,Betw Convent & Amsterdam Avenues,NY 10031",40.8232166,-73.9484769,99.4674556213018,08,"Uptown Big Book Workshop",Saturdays,9:30 AM,11:00 AM,BB
"St. Phillip Church",204 West 134th Street,New York,NY,10030,"204 West 134th Street,1st Floor,Betw 7th & 8th Avenues,10030",40.8147959,-73.9448542,100,08,"Convent",Saturdays,11:30 AM,1:00 PM,OD
"Spiritual Renewal Church",2044 Adam Clayton Powell Blvd.,New York,NY,10027,"2044 Adam Clayton Powell Blvd.,@ 122nd Street,NY 10027",40.8072583,-73.9499047,96.8673860076575,08,"Fellowship At Noon",Mondays,12:15 PM,1:15 PM,B
"Spiritual Renewal Church",2044 Adam Clayton Powell Blvd.,New York,NY,10027,"2044 Adam Clayton Powell Blvd.,@ 122nd Street,NY 10027",40.8072583,-73.9499047,96.8673860076575,08,"Fellowship At Noon",Wednesdays,12:15 PM,1:15 PM,S
"Spiritual Renewal Church",2044 Adam Clayton Powell Blvd.,New York,NY,10027,"2044 Adam Clayton Powell Blvd.,@ 122nd Street,NY 10027",40.8072583,-73.9499047,96.8673860076575,08,"Fellowship At Noon",Fridays,12:15 PM,1:15 PM,OD
"469 West 142nd Street",469 West 142nd Street,New York,NY,10031,"469 West 142nd Street,1st Floor,Betw. Amsterdam & Convent Avenues,10031",40.8232166,-73.9484769,100,08,"Grupo Trasmitelo",Thursdays,8:00 PM,9:00 PM,B
"St. Mary's Episcopal",521 West 126th St,New York,NY,10027,"521 West 126th St,Amsterdam & Old Broadway 10027",40.8148408,-73.9561515,100,08,"Harlem Humanists",Mondays,12:00 PM,1:00 PM,O
"SRO Building Community Room",109 West 129th Street,New York,NY,10027,"109 West 129th Street,Basement,Betw Lenox Avenue & Adam Clayton Powell Blvd,NY 10027",40.8106798,-73.944244,100,08,"K.i.s.s.",Sundays,5:30 PM,6:30 PM,S
"SRO Building Community Room",109 West 129th Street,New York,NY,10027,"109 West 129th Street,Basement,Betw Lenox Avenue & Adam Clayton Powell Blvd,NY 10027",40.8106798,-73.944244,100,08,"K.i.s.s.",Sundays,7:00 PM,8:00 PM,B
"Our Lady of Lourdes",469 West 142nd Street,New York,NY,10031,"469 West 142nd Street,Basement,Betw Convent & Amsterdam Avenues,NY 10031",40.8232166,-73.9484769,100,08,"Learning To Live Sober",Thursdays,6:00 PM,7:00 PM,BB
"2044 Seventh Avenue",2044 Seventh Avenue,New York,NY,10027,"2044 Seventh Avenue,NY 10027",40.8071759186691,-73.9497519327616,100,08,"Living Clean And Sober On 121st Street",Sundays,6:00 PM,7:30 PM,B
"S.A.G.E.",127 West 127th Street,New York,NY,10027,"127 West 127th Street,Betw. 7th and Lenox,NY 10027",40.7467107,-73.9935208,100,08,"Meditation Comes To Harlem",Mondays,4:30 PM,5:30 PM,C
"S.A.G.E.",127 West 127th Street,New York,NY,10027,"127 West 127th Street,Betw. 7th and Lenox,NY 10027",40.7467107,-73.9935208,100,08,"Abingdon Square In Chelsea",Wednesdays,8:00 PM,9:00 PM,OD
"Grace Congregational Baptist Church",310 West 139th Street,New York,NY,10037,"310 West 139th Street,Basement,Betw Eighth & Edgecombe Avenues,NY 10037",40.8192096,-73.9453784,99.4674556213018,08,"Mid-harlem",Mondays,7:00 PM,8:00 PM,S
"Grace Congregational Baptist Church",310 West 139th Street,New York,NY,10037,"310 West 139th Street,Basement,Betw Eighth & Edgecombe Avenues,NY 10037",40.8192096,-73.9453784,99.4674556213018,08,"Mid-harlem",Fridays,7:00 PM,8:00 PM,B
"Grace Congregational Baptist Church",310 West 139th Street,New York,NY,10037,"310 West 139th Street,Basement,Betw Eighth & Edgecombe Avenues,NY 10037",40.8192096,-73.9453784,99.4674556213018,08,"Mid-harlem",Fridays,8:00 PM,9:00 PM,O
"St. James Church",409 West 141st Street,New York,NY,10031,"409 West 141st Street,Basement,@ St. Nicholas Avenue,NY 10031",40.7713251,-73.9655852,100,08,"Monday Night Challenge",Mondays,7:00 PM,8:00 PM,B
"St. James Church",409 West 141st Street,New York,NY,10031,"409 West 141st Street,Basement,@ St. Nicholas Avenue,NY 10031",40.7713251,-73.9655852,100,08,"Park Bench   (:Ii)",Wednesdays,12:30 PM,1:30 PM,C
"St. James Church",409 West 141st Street,New York,NY,10031,"409 West 141st Street,Basement,@ St. Nicholas Avenue,NY 10031",40.7713251,-73.9655852,100,08,"Park Bench   (:Ii)",Thursdays,12:30 PM,1:30 PM,C
"Riverside Church",91 Claremont Avenue,New York,NY,10027,"91 Claremont Avenue,4th Floor,Room 414,Betw. Broadway & Riverside Drive,NY 10027",40.8119559,-73.9625116,100,08,"Primary Purpose",Sundays,3:00 PM,4:00 PM,OD
"Riverside Church",91 Claremont Avenue,New York,NY,10027,"91 Claremont Avenue,4th Floor,Room 414,Betw. Broadway & Riverside Drive,NY 10027",40.8119559,-73.9625116,100,08,"Riverside",Mondays,7:00 PM,8:00 PM,C
"Upper Manhattan Mental Health Center",1727 Amsterdam Avenue,New York,NY,10031,"1727 Amsterdam Avenue,1st Floor in the rear.,@ 145th Street,NY 10031",40.8255289,-73.9471616,100,08,"Promises Two For One",Sundays,9:30 AM,10:30 AM,B
"Upper Manhattan Mental Health Center",1727 Amsterdam Avenue,New York,NY,10031,"1727 Amsterdam Avenue,1st Floor in the rear.,@ 145th Street,NY 10031",40.8255289,-73.9471616,100,08,"Promises Two For One",Sundays,11:00 AM,12:00 PM,C
"St. Aloysius School",219 West 132nd Street,New York,NY,10027,"219 West 132nd Street,Cafeteria,Betw. Adam Clayton Powell Blvd. & F. Douglass Blvd.,NY 10027",40.8138548,-73.9459315,100,08,"Riverton",Saturdays,3:00 PM,4:00 PM,B
"St. Aloysius School",219 West 132nd Street,New York,NY,10027,"219 West 132nd Street,Cafeteria,Betw. Adam Clayton Powell Blvd. & F. Douglass Blvd.,NY 10027",40.8138548,-73.9459315,100,08,"Riverton",Saturdays,6:00 PM,7:00 PM,O
"St. Aloysius School",219 West 132nd Street,New York,NY,10027,"219 West 132nd Street,Cafeteria,Betw. Adam Clayton Powell Blvd. & F. Douglass Blvd.,NY 10027",40.8138548,-73.9459315,100,08,"Riverton",Tuesdays,8:00 PM,9:00 PM,undefined
"Salem United Methodist Church Community Center",211 West 129th Street,New York,NY,10027,"211 West 129th Street,Downstairs in the Gym,@ Adam Clayton Powell Blvd.,NY 10027",40.8119105,-73.9471217,100,08,"Salem",Wednesdays,7:30 PM,8:30 PM,C
"Convent Baptist Church Education Building",425 West 144th Street,New York,NY,10031,"425 West 144th Street,1st Floor,Betw. Convent Avenue & Hamilton Terrace,NY 10031",40.8238524,-73.9461167,100,08,"Sober Adult Men",Wednesdays,7:00 PM,8:00 PM,C
"St. Phillip's Church",204 West 134th Street,New York,NY,10030,"204 West 134th Street,Basement,Betw Adam C. Powell & Frederick Douglas Blvds,NY 10030",40.8147959,-73.9448542,100,08,"St. Nicholas",Sundays,4:00 PM,5:00 PM,O
"St. Phillip's Church",204 West 134th Street,New York,NY,10030,"204 West 134th Street,Basement,Betw Adam C. Powell & Frederick Douglas Blvds,NY 10030",40.8147959,-73.9448542,100,08,"St. Nicholas",Thursdays,7:00 PM,8:00 PM,B
"Harlem Hospital King Pavilion",506 Lenox Avenue,New York,NY,10037,"506 Lenox Avenue,Room #3101,3rd Floor,@ 135 Street,NY 10037",40.8143457,-73.9403066,100,08,"Steps 3 And 11",Sundays,2:00 PM,3:00 PM,B
"Council Center for Problems of Living",1727 Amsterdam Avenue,New York,NY,10031,"1727 Amsterdam Avenue,1st floor in the rear,@ 145th St. 10031",40.8255289,-73.9471616,100,08,"Sugar Hill",Fridays,5:30 PM,6:30 PM,B
"1854 Amsterdam Avenue",1854 Amsterdam Avenue,New York,NY,10031,"1854 Amsterdam Avenue,Basment,Corner of 152nd Street,NY 10031",40.8295902,-73.9446541,100,08,"Tuesday Big Book Study",Tuesdays,6:00 PM,7:00 PM,BB
"Metropolitan AME Church",58 66 West 135th Street,New York,NY,10037,"58 66 West 135th Street,Betw Malcolm X Boulevard & 5th Avenue,NY 10037",40.8136193269582,-73.9399368110258,100,08,"You May Care After",Tuesdays,6:30 PM,7:30 PM,S
"Columbia Presbyterian Hospital",701 West 168th Street @ Fort Washington Avenue,New York,NY,10032,"701 West 168th Street @ Fort Washington Avenue,Hammer Health & Science Library NY 10032",40.8424566,-73.9424508,94.0828402366864,10,"A New Way Of Living",Thursdays,12:00 PM,1:00 PM,S
"Columbia Presbyterian Hospital",701 West 168th Street @ Fort Washington Avenue,New York,NY,10032,"701 West 168th Street @ Fort Washington Avenue,Hammer Health & Science Library NY 10032",40.8424566,-73.9424508,94.0828402366864,10,"A New Way Of Living",Fridays,12:00 PM,1:00 PM,C
"Columbia Presbyterian Hospital",701 West 168th Street @ Fort Washington Avenue,New York,NY,10032,"701 West 168th Street @ Fort Washington Avenue,Hammer Health & Science Library NY 10032",40.8424566,-73.9424508,94.0828402366864,10,"A New Way Of Living",Mondays,12:00 PM,1:00 PM,BB
"Columbia Presbyterian Hospital",701 West 168th Street @ Fort Washington Avenue,New York,NY,10032,"701 West 168th Street @ Fort Washington Avenue,Hammer Health & Science Library NY 10032",40.8424566,-73.9424508,94.0828402366864,10,"A New Way Of Living",Tuesdays,12:00 PM,1:00 PM,B
"Columbia Presbyterian Hospital",701 West 168th Street @ Fort Washington Avenue,New York,NY,10032,"701 West 168th Street @ Fort Washington Avenue,Hammer Health & Science Library NY 10032",40.8424566,-73.9424508,94.0828402366864,10,"A New Way Of Living",Wednesdays,12:00 PM,1:00 PM,C
"Holy Rood Church",715 West 179th Street,New York,NY,10033,"715 West 179th Street,Betw Bway & Fort Washington Avenue,NY 10033",40.8492702,-73.9382266,98.9349112426035,10,"Bridge To Sobriety (:I)",Mondays,10:00 AM,11:00 AM,OD
"Holy Rood Church",715 West 179th Street,New York,NY,10033,"715 West 179th Street,Betw Bway & Fort Washington Avenue,NY 10033",40.8492702,-73.9382266,98.9349112426035,10,"Bridge To Sobriety (:I)",Tuesdays,10:00 AM,11:00 AM,B
