Location_Name,Address_Line_1,City,State,Zipcode,Extended_Address,Meeting_Name,Day,Start,End,Type
Jan Hus Church,351 East 74th Street,New York,NY,10021,"Jan Hus Church,351 East 74th Street,2nd Floor,Betw 1st & 2nd Avenues,10021",yorkville-butterfield,Thursdays,8:00 PM,9:00 PM,C
Manhattan Church of Christ,48 East 80th Street,New York,NY,10021,"Manhattan Church of Christ,48 East 80th Street,2nd Floor Library,Ring Bell Next to Sign.,Betw Park & Madison Avenues,10021",a.a. traditions and history,Tuesdays,7:00 PM,8:00 PM,T
St. Jean Baptiste Church,184 East 76th Street,New York,NY,10021,"St. Jean Baptiste Church,184 East 76th Street,Basement,Betw Lexington & 3rd Avenues,Ring Bell,NY 10021",active,Wednesdays,6:00 PM,7:00 PM,S
Church of the Epiphany,1393 York Avenue,New York,NY,10021,"Church of the Epiphany,1393 York Avenue,@ 74th Street,10021",atlantic eleventh step meditation,Mondays,7:15 PM,8:15 PM,S
Christ United Methodist Church,520 Park Avenue,New York,NY,10021,"Christ United Methodist Church,520 Park Avenue,@ 60th Street,NY 10021",atlantic group (:i),Tuesdays,7:00 PM,8:00 PM,O
Archdiocian Cathedral of the Holy Trinity,337 East 74th St.,New York,NY,10021,"Archdiocian Cathedral of the Holy Trinity,337 East 74th St.,Between First and Second Avenues,10021",atlantic group (:ii),Thursdays,7:00 PM,8:00 PM,B
All Souls Church,1157 Lexington Avenue,New York,NY,10075,"All Souls Church,1157 Lexington Avenue,between 79th and 80th Streets,10075",atlantic group (:iii),Saturdays,6:00 PM,7:00 PM,O
Gracie Square Hospital,420 East 76th Street,New York,NY,10021,"Gracie Square Hospital,420 East 76th Street,Betw 1st & York Avenues,NY 10021",breaking through,Fridays,6:30 PM,7:30 PM,B
Gracie Square Hospital,420 East 76th Street,New York,NY,10021,"Gracie Square Hospital,420 East 76th Street,Betw 1st & York Avenues,NY 10021",live and let live,Tuesdays,7:00 PM,8:00 PM,B
Gracie Square Hospital,420 East 76th Street,New York,NY,10021,"Gracie Square Hospital,420 East 76th Street,Betw 1st & York Avenues,NY 10021",live and let live,Thursdays,7:00 PM,8:00 PM,OD
Gracie Square Hospital,420 East 76th Street,New York,NY,10021,"Gracie Square Hospital,420 East 76th Street,Betw 1st & York Avenues,NY 10021",live and let live,Tuesdays,8:30 PM,9:30 PM,C
Our Lady of Good Counsel Church,230 East 90th Street,New York,NY,10128,"Our Lady of Good Counsel Church,230 East 90th Street,Downstairs,Betw 2nd & 3rd Avenues,NY 10128",came to believe,Sundays,3:30 PM,4:30 PM,B
St. Thomas More Church,65 East 89th Street,New York,NY,10128,"St. Thomas More Church,65 East 89th Street,Basement,@ Park & Madison Avenues,NY 10128",carnegie hill,Tuesdays,6:15 PM,7:15 PM,C
St. Thomas More Church,65 East 89th Street,New York,NY,10128,"St. Thomas More Church,65 East 89th Street,Basement,@ Park & Madison Avenues,NY 10128",renewal north,Thursdays,6:30 PM,7:30 PM,OD
St. James Episcopal Church,865 Madison Avenue,New York,NY,10021,"St. James Episcopal Church,865 Madison Avenue,Basement,@ East 71st Street,NY 10021",central,Sundays,5:00 PM,5:45 PM,O
St. James Episcopal Church,865 Madison Avenue,New York,NY,10021,"St. James Episcopal Church,865 Madison Avenue,Basement,@ East 71st Street,NY 10021",central,Sundays,6:00 PM,7:00 PM,S
St. James Episcopal Church,865 Madison Avenue,New York,NY,10021,"St. James Episcopal Church,865 Madison Avenue,Basement,@ East 71st Street,NY 10021",central,Sundays,6:00 PM,7:00 PM,OD
St. James Episcopal Church,865 Madison Avenue,New York,NY,10021,"St. James Episcopal Church,865 Madison Avenue,Basement,@ East 71st Street,NY 10021",central,Sundays,7:15 PM,8:15 PM,B
St. James Episcopal Church,865 Madison Avenue,New York,NY,10021,"St. James Episcopal Church,865 Madison Avenue,Basement,@ East 71st Street,NY 10021",rhinelander,Mondays,6:00 PM,7:00 PM,OD
St. James Episcopal Church,865 Madison Avenue,New York,NY,10021,"St. James Episcopal Church,865 Madison Avenue,Basement,@ East 71st Street,NY 10021",rhinelander,Thursdays,6:00 PM,7:00 PM,S
St. James Episcopal Church,865 Madison Avenue,New York,NY,10021,"St. James Episcopal Church,865 Madison Avenue,Basement,@ East 71st Street,NY 10021",rhinelander,Thursdays,7:00 PM,8:00 PM,B
St. James Episcopal Church,865 Madison Avenue,New York,NY,10021,"St. James Episcopal Church,865 Madison Avenue,Basement,@ East 71st Street,NY 10021",rhinelander,Mondays,7:00 PM,8:00 PM,B
Immanuel Lutheran Church,1296 Lexington Avenue,New York,NY,10128,"Immanuel Lutheran Church,1296 Lexington Avenue,Basement,Enter through red door on Lexington Avenue,Betw 87th & 88th Streets,NY 10128",chapter five,Mondays,7:15 AM,8:15 AM,BB
Immanuel Lutheran Church,1296 Lexington Avenue,New York,NY,10128,"Immanuel Lutheran Church,1296 Lexington Avenue,Basement,Enter through red door on Lexington Avenue,Betw 87th & 88th Streets,NY 10128",chapter five,Tuesdays,7:15 AM,8:15 AM,OD
Immanuel Lutheran Church,1296 Lexington Avenue,New York,NY,10128,"Immanuel Lutheran Church,1296 Lexington Avenue,Basement,Enter through red door on Lexington Avenue,Betw 87th & 88th Streets,NY 10128",chapter five,Wednesdays,7:15 AM,8:15 AM,S
